bodyPart,equipment,gifUrl,name,target
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0001.gif,3/4 sit-up,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0002.gif,45° side bend,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0003.gif,air bike,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1512.gif,all fours squad stretch,quads
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0006.gif,alternate heel touchers,abs
back,cable,http://d205bpvrqc9yn1.cloudfront.net/0007.gif,alternate lateral pulldown,lats
lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1368.gif,ankle circles,calves
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3293.gif,archer pull up,lats
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3294.gif,archer push up,pectorals
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2355.gif,arm slingers hanging bent knee legs,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2333.gif,arm slingers hanging straight legs,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3214.gif,arms apart circular toe touch (male),glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3204.gif,arms overhead full sit-up (male),abs
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0009.gif,assisted chest dip (kneeling),pectorals
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0011.gif,assisted hanging knee raise,abs
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0010.gif,assisted hanging knee raise with throw down,abs
lower legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1708.gif,assisted lying calves stretch,calves
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1709.gif,assisted lying glutes stretch,glutes
upper legs,assisted,http://d205bpvrqc9yn1.cloudfront.net/1710.gif,assisted lying gluteus and piriformis stretch,glutes
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0012.gif,assisted lying leg raise with lateral throw down,abs
waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0013.gif,assisted lying leg raise with throw down,abs
waist,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/0014.gif,assisted motion russian twist,abs
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0015.gif,assisted parallel close grip pull-up,lats
